# z  DH  sigDH  DM  sigDM  DV  sigDV
9.479396984924624014e-01 2.497041908869239705e+03 8.327499276474139833e+01 3.219546774256717072e+03 1.243665095630692718e+02 2.905797462821793033e+03 8.150549839278377817e+01
9.578140703517589172e-01 2.482570467228024427e+03 8.294621160168019003e+01 3.244132046415086734e+03 1.246404225336834628e+02 2.925005011162922983e+03 8.169554727002420691e+01
9.676884422110554329e-01 2.468236675706113601e+03 8.263229395047524406e+01 3.268575101781583726e+03 1.249116276154141758e+02 2.944058466842123380e+03 8.188636867290470889e+01
9.775628140703517266e-01 2.454040003808912843e+03 8.233399128514270160e+01 3.292877296945520357e+03 1.251802496970738474e+02 2.962960093019918986e+03 8.207827112959625993e+01
9.874371859296482423e-01 2.439979901319337387e+03 8.205201809703764582e+01 3.317039983160538213e+03 1.254464160744415722e+02 2.981712139044409469e+03 8.227156929076011238e+01
9.973115577889447581e-01 2.426055799223598115e+03 8.178705146046634411e+01 3.341064506154425089e+03 1.257102562021633645e+02 3.000316840180386862e+03 8.246658354112092582e+01
1.007185929648241274e+00 2.412267110613918248e+03 8.153973066739462183e+01 3.364952205947970015e+03 1.259719014586924715e+02 3.018776417356127695e+03 8.266363962128514231e+01
1.017060301507537678e+00 2.398613231568978335e+03 8.131065693500707425e+01 3.388704416682616284e+03 1.262314849240390515e+02 3.037093076927573748e+03 8.286306825933672826e+01
1.026934673366834305e+00 2.385093542012079070e+03 8.110039319029272065e+01 3.412322466456704205e+03 1.264891411700594119e+02 3.055269010459325273e+03 8.306520481173191683e+01
1.036809045226130710e+00 2.371707406546973743e+03 8.090946393646312629e+01 3.435807677170067109e+03 1.267450060629833786e+02 3.073306394521795937e+03 8.327038891308907864e+01
1.046683417085427337e+00 2.358454175272263001e+03 8.073835520444467306e+01 3.459161364376787787e+03 1.269992165778494808e+02 3.091207390504343039e+03 8.347896413419871919e+01
1.056557788944723519e+00 2.345333184573587005e+03 8.058751459500508929e+01 3.482384837145875281e+03 1.272519106244970999e+02 3.108974144443419846e+03 8.369127764801694980e+01
1.066432160804020146e+00 2.332343757895116141e+03 8.045735141402073509e+01 3.505479397929672359e+03 1.275032268847490258e+02 3.126608786865820548e+03 8.390767990295151435e+01
1.076306532663316551e+00 2.319485206489146094e+03 8.034823690474334512e+01 3.528446342439760429e+03 1.277533046604013833e+02 3.144113432645877765e+03 8.412852430307627571e+01
1.086180904522613178e+00 2.306756830145615822e+03 8.026050457971265928e+01 3.551286959530181321e+03 1.280022837316322750e+02 3.161490180876841350e+03 8.435416689485559516e+01
1.096055276381909582e+00 2.294157917900545272e+03 8.019445065373038517e+01 3.574002531087745410e+03 1.282503042254318188e+02 3.178741114755377566e+03 8.458496605987525641e+01
1.105929648241205987e+00 2.281687748724454195e+03 8.015033457945412465e+01 3.596594331929248256e+03 1.284975064936539866e+02 3.195868301479097681e+03 8.482128221331669238e+01
1.115804020100502614e+00 2.269345592190782554e+03 8.012837968515221121e+01 3.619063629705375206e+03 1.287440310002902777e+02 3.212873792156510262e+03 8.506347750773285554e+01
1.125678391959799018e+00 2.257130709124801797e+03 8.012877391390455273e+01 3.641411684811116174e+03 1.289900182175643977e+02 3.229759621729067021e+03 8.531191554187061854e+01
1.135552763819095645e+00 2.245042352232955636e+03 8.015167066226119630e+01 3.663639750302493212e+03 1.292356085304531064e+02 3.246527808904677386e+03 8.556696107428108178e+01
1.145427135678392050e+00 2.233079766713623940e+03 8.019718971524949325e+01 3.685749071819402616e+03 1.294809421492407466e+02 3.263180356102585847e+03 8.582897974149250331e+01
1.155301507537688455e+00 2.221242190848881819e+03 8.026541827351368852e+01 3.707740887514403767e+03 1.297261590297220550e+02 3.279719249408848100e+03 8.609833778054100151e+01
1.165175879396984859e+00 2.209528856578156592e+03 8.035641206795500580e+01 3.729616427987252791e+03 1.299713988006747911e+02 3.296146458542263190e+03 8.637540175583654900e+01
1.175050251256281486e+00 2.197938990053906764e+03 8.047019655536225002e+01 3.751376916225021887e+03 1.302168006982323902e+02 3.312463936830271905e+03 8.666053829017813825e+01
1.184924623115577891e+00 2.186471812179718654e+03 8.060676818867209192e+01 3.773023567547607399e+03 1.304625035067948602e+02 3.328673621194458519e+03 8.695411380000282975e+01
1.194798994974874518e+00 2.175126539131054869e+03 8.076609575393298712e+01 3.794557589558476138e+03 1.307086455061267998e+02 3.344777432145231614e+03 8.725649423481800682e+01
1.204673366834170922e+00 2.163902382859159388e+03 8.094812176602378884e+01 3.815980182100463026e+03 1.309553644243007966e+02 3.360777273785388388e+03 8.756804482095402875e+01
1.214547738693467549e+00 2.152798551578375282e+03 8.115276391430900560e+01 3.837292537216467281e+03 1.312027973961558303e+02 3.376675033822165460e+03 8.788912980973803712e+01
1.224422110552763732e+00 2.141814250237368014e+03 8.137991654921998474e+01 3.858495839114878891e+03 1.314510809269501692e+02 3.392472583587502413e+03 8.822011223027645599e+01
1.234296482412060358e+00 2.130948680974243871e+03 8.162945220042220740e+01 3.879591264139579380e+03 1.317003508609006985e+02 3.408171778065990111e+03 8.856135364705413338e+01
1.244170854271356763e+00 2.120201043556446166e+03 8.190122311728593729e+01 3.900579980744360000e+03 1.319507423543105915e+02 3.423774455930456952e+03 8.891321392264062240e+01
1.254045226130653390e+00 2.109570535805250984e+03 8.219506282212144299e+01 3.921463149471610905e+03 1.322023898529996870e+02 3.439282439584594613e+03 8.927605098575281772e+01
1.263919597989949795e+00 2.099056354005660523e+03 8.251078766724447178e+01 3.942241922935124421e+03 1.324554270737624790e+02 3.454697535212546882e+03 8.965022060507618562e+01
1.273793969849246199e+00 2.088657693301698146e+03 8.284819838669116621e+01 3.962917445806880096e+03 1.327099869895900213e+02 3.470021532834989557e+03 9.003607616913383538e+01
1.283668341708542826e+00 2.078373748077581695e+03 8.320708163437606686e+01 3.983490854807660071e+03 1.329662018184042438e+02 3.485256206371466760e+03 9.043396847267875671e+01
1.293542713567839231e+00 2.068203712325280776e+03 8.358721150045573722e+01 4.003963278701357467e+03 1.332242030150627272e+02 3.500403313708785845e+03 9.084424550996651249e+01
1.303417085427135635e+00 2.058146779998334750e+03 8.398835099845811669e+01 4.024335838292854532e+03 1.334841212664044576e+02 3.515464596774962047e+03 9.126725227534326734e+01
1.313291457286432262e+00 2.048202145352949628e+03 8.441025351648248432e+01 4.044609646429325039e+03 1.337460864891164647e+02 3.530441781618795176e+03 9.170333057163340129e+01
1.323165829145728667e+00 2.038369003275951172e+03 8.485266422617411308e+01 4.064785808004842238e+03 1.340102278302127559e+02 3.545336578494416244e+03 9.215281882673552616e+01
1.333040201005025294e+00 2.028646549600583057e+03 8.531532144415218966e+01 4.084865419968165043e+03 1.342766736699271064e+02 3.560150681950919534e+03 9.261605191891663935e+01
1.342914572864321698e+00 2.019033981409996613e+03 8.579795794104153117e+01 4.104849571333581480e+03 1.345455516268310134e+02 3.574885770926553505e+03 9.309336101120966589e+01
1.352788944723618103e+00 2.009530497329079481e+03 8.630030219426366500e+01 4.124739343194692992e+03 1.348169885649976152e+02 3.589543508847441899e+03 9.358507339539409031e+01
1.362663316582914730e+00 2.000135297804586116e+03 8.682207958128535097e+01 4.144535808741018627e+03 1.350911106030432336e+02 3.604125543730380741e+03 9.409151234596748736e+01
1.372537688442210912e+00 1.990847585374492610e+03 8.736301351078371624e+01 4.164240033277316797e+03 1.353680431248853324e+02 3.618633508289857218e+03 9.461299698451063023e+01
1.382412060301507761e+00 1.981666564925956891e+03 8.792282648985673177e+01 4.183853074245508651e+03 1.356479107920671652e+02 3.633069020048536913e+03 9.514984215481875651e+01
1.392286432160803944e+00 1.972591443943177183e+03 8.850124112622332007e+01 4.203375981249096185e+03 1.359308375575051855e+02 3.647433681451575012e+03 9.570235830919986597e+01
1.402160804020100571e+00 1.963621432744758522e+03 8.909798106453764888e+01 4.222809796079979606e+03 1.362169466805264051e+02 3.661729079984177133e+03 9.627085140616270564e+01
1.412035175879396975e+00 1.954755744711129637e+03 8.971277185709801927e+01 4.242155552747570255e+03 1.365063607430687682e+02 3.675956788292332931e+03 9.685562281988100608e+01
1.421909547738693602e+00 1.945993596502287346e+03 9.034534176919893866e+01 4.261414277510093598e+03 1.367992016669266775e+02 3.690118364306545118e+03 9.745696926159705242e+01
1.431783919597990007e+00 1.937334208266200221e+03 9.099542252014305177e+01 4.280586988908008607e+03 1.370955907319305993e+02 3.704215351368408847e+03 9.807518271318765812e+01
1.441658291457286412e+00 1.928776803837990656e+03 9.166274996126436747e+01 4.299674697799427122e+03 1.373956485949573221e+02 3.718249278359754044e+03 9.871055037304769542e+01
1.451532663316583038e+00 1.920320610930208886e+03 9.234706469257450578e+01 4.318678407397465890e+03 1.376994953096736936e+02 3.732221659834222464e+03 9.936335461436380001e+01
1.461407035175879443e+00 1.911964861314824020e+03 9.304811262015931561e+01 4.337599113309429413e+03 1.380072503469240814e+02 3.746133996151334486e+03 1.000338729558816482e+02
1.471281407035176070e+00 1.903708790996390690e+03 9.376564545631616454e+01 4.356437803577749946e+03 1.383190326156775143e+02 3.759987773612388082e+03 1.007223780450738815e+02
1.481155778894472252e+00 1.895551640377713284e+03 9.449942116519203239e+01 4.375195458722599142e+03 1.386349604844564567e+02 3.773784464598712020e+03 1.014291376537811544e+02
1.491030150753769101e+00 1.887492654417195808e+03 9.524920435613520908e+01 4.393873051786097676e+03 1.389551518031756530e+02 3.787525527711458835e+03 1.021544146860764926e+02
1.500904522613065284e+00 1.879531082778922155e+03 9.601476662785249516e+01 4.412471548378032821e+03 1.392797239253240491e+02 3.801212407913290008e+03 1.028984671983516819e+02
1.510778894472361911e+00 1.871666179975236901e+03 9.679588686578279066e+01 4.430991906723037573e+03 1.396087937304291131e+02 3.814846536671554531e+03 1.036615484312740136e+02
1.520653266331658315e+00 1.863897205502376210e+03 9.759235149583754776e+01 4.449435077709126745e+03 1.399424776467465961e+02 3.828429332102990884e+03 1.044439068534947808e+02
1.530527638190954720e+00 1.856223423969101987e+03 9.840395469708010978e+01 4.467802004937547281e+03 1.402808916741253711e+02 3.841962199119685010e+03 1.052457862167047296e+02
1.540402010050251347e+00 1.848644105218648974e+03 9.923049857632676662e+01 4.486093624773864576e+03 1.406241514069994025e+02 3.855446529576200646e+03 1.060674256217640590e+02
1.550276381909547752e+00 1.841158524444569593e+03 1.000717933073914452e+02 4.504310866400216582e+03 1.409723720574648667e+02 3.868883702418019766e+03 1.069090595954987180e+02
1.560150753768844378e+00 1.833765962299838293e+03 1.009276572377139445e+02 4.522454651868691144e+03 1.413256684784043955e+02 3.882275083830611948e+03 1.077709181777580625e+02
1.570025125628140783e+00 1.826465705000498701e+03 1.017979169650147355e+02 4.540525896155738337e+03 1.416841551866230873e+02 3.895622027389749292e+03 1.086532270182730286e+02
1.579899497487437410e+00 1.819257044423076195e+03 1.026824073864851385e+02 4.558525507217591439e+03 1.420479463859659859e+02 3.908925874212305644e+03 1.095562074828141590e+02
1.589773869346733814e+00 1.812139278196693567e+03 1.035809717231659874e+02 4.576454386046605578e+03 1.424171559903897446e+02 3.922187953107936664e+03 1.104800767682285141e+02
